Contestant,GameIdForUrl,GameId,Date,FinalScore,Outcome,GameFormat,TournamentName,CoryatScore,QuestionsRight,DailyDoublesRight,QuestionsWrong,DailyDoublesWrong
Brad Rutter,147,3720,"Friday, November 3, 2000",5100,"5-day champion: $55,102",Regular Season,Regular Season,11700,35,2,3,0
Brad Rutter,145,3719,"Thursday, November 2, 2000",15200,"4-day champion: $50,002",Regular Season,Regular Season,12200,24,3,1,0
Brad Rutter,140,3718,"Wednesday, November 1, 2000",10601,"3-day champion: $34,802",Regular Season,Regular Season,9500,27,1,2,0
Brad Rutter,138,3717,"Tuesday, October 31, 2000",14000,"2-day champion: $24,201",Regular Season,Regular Season,13700,34,2,2,0
Brad Rutter,137,3716,"Monday, October 30, 2000",10201,"New champion: $10,201",Regular Season,Regular Season,7800,16,0,2,0
Brad Rutter,326,3950,"Friday, November 2, 2001",17101,Accumulated Game,Tournament,Tournament of Champions,8800,18,2,1,0
Brad Rutter,325,3949,"Thursday, November 1, 2001",2500,Accumulated Game,Tournament,Tournament of Champions,6000,17,0,3,0
Brad Rutter,327,3948,"Wednesday, October 31, 2001",17001,Finalist,Tournament,Tournament of Champions,9600,22,2,1,0
Brad Rutter,296,3944,"Thursday, October 25, 2001",18000,Automatic semifinalist,Tournament,Tournament of Champions,15000,36,3,2,0
Brad Rutter,330,4783,"Wednesday, May 25, 2005",23600,Accumulated Game,Tournament,Ultimate Tournament of Champions,23800,30,1,1,0
Brad Rutter,329,4782,"Tuesday, May 24, 2005",20000,Accumulated Game,Tournament,Ultimate Tournament of Champions,15000,17,0,1,0
Brad Rutter,328,4781,"Monday, May 23, 2005",18400,Accumulated Game,Tournament,Ultimate Tournament of Champions,14600,18,1,2,1
Brad Rutter,324,4780,"Friday, May 20, 2005",26600,Accumulated Game,Tournament,Ultimate Tournament of Champions,26400,30,2,2,1
Brad Rutter,323,4779,"Thursday, May 19, 2005",10000,Accumulated Game,Tournament,Ultimate Tournament of Champions,19600,30,1,4,1
Brad Rutter,309,4771,"Monday, May 9, 2005",6400,"Winner: $30,000 + an advance to UToC Round 4",Tournament,Ultimate Tournament of Champions,11600,17,0,4,2
Brad Rutter,291,4764,"Thursday, April 28, 2005",18200,"Winner: $20,000 + $15,000 as a member of the Nifty Nine + an advance to UToC Round 3",Tournament,Ultimate Tournament of Champions,31600,36,2,2,0
Brad Rutter,566,4087,"Tuesday, May 14, 2002",13801,Accumulated Game,Tournament,Million Dollar Masters,13600,18,0,2,0
Brad Rutter,565,4086,"Monday, May 13, 2002",11800,Accumulated Game,Tournament,Million Dollar Masters,15800,26,2,4,0
Brad Rutter,560,4084,"Thursday, May 9, 2002",39200,Finalist,Tournament,Million Dollar Masters,19600,33,1,4,0
Brad Rutter,342,4079,"Thursday, May 2, 2002",24801,Automatic semifinalist,Tournament,Million Dollar Masters,17800,26,1,4,0
Brad Rutter,3577,6088,"Wednesday, February 16, 2011",11200,Accumulated Game,Exhibition,IBM Challenge,5600,12,0,2,0
Brad Rutter,3576,6087,"Tuesday, February 15, 2011",10400,Accumulated Game,Exhibition,IBM Challenge,5400,10,0,1,0
Brad Rutter,6231,7941,"Monday, March 4, 2019",36000,Accumulated Game,Tournament,All-Star Games,19600,26,2,0,0
Brad Rutter,6225,7935,"Friday, February 22, 2019",8400,Accumulated Game,Tournament,All-Star Games,4200,12,0,5,0
Brad Rutter,6224,7934,"Thursday, February 21, 2019",49800,Accumulated Game,Tournament,All-Star Games,23600,27,2,1,0
Brad Rutter,6232,7942,"Tuesday, March 5, 2019",34000,Accumulated Game,Tournament,All-Star Games,22000,23,3,0,0
Brad Rutter,4506,6840,"Friday, May 16, 2014",11800,Accumulated Game,Tournament,Battle of the Decades,11200,17,2,3,0
Brad Rutter,4505,6839,"Thursday, May 15, 2014",10000,Accumulated Game,Tournament,Battle of the Decades,17200,21,1,4,1
Brad Rutter,4502,6837,"Tuesday, May 13, 2014",32800,Finalist,Tournament,Battle of the Decades,27400,32,2,3,1
Brad Rutter,4496,6833,"Wednesday, May 7, 2014",32400,Automatic semifinalist,Tournament,Battle of the Decades,19800,22,3,2,0
Brad Rutter,4442,6790,"Friday, March 7, 2014",30600,Quarterfinalist,Tournament,Battle of the Decades,28400,33,2,3,0
Brad Rutter,6526,7,"Tuesday, January 14, 2020",0,Accumulated Game,Regular Season,Greatest of All Time,6800,10,0,2,1
Brad Rutter,6527,8,"Tuesday, January 14, 2020",1400,Accumulated Game,Regular Season,Greatest of All Time,1400,4,0,0,0
Brad Rutter,6521,5,"Thursday, January 9, 2020",17600,Accumulated Game,Regular Season,Greatest of All Time,12200,11,0,1,1
Brad Rutter,6522,6,"Thursday, January 9, 2020",5867,Accumulated Game,Regular Season,Greatest of All Time,8600,10,2,1,0
Brad Rutter,6518,3,"Wednesday, January 8, 2020",14400,Accumulated Game,Regular Season,Greatest of All Time,7200,10,0,2,0
Brad Rutter,6519,4,"Wednesday, January 8, 2020",3600,Accumulated Game,Regular Season,Greatest of All Time,200,8,1,4,1
Brad Rutter,6515,1,"Tuesday, January 7, 2020",10400,Accumulated Game,Regular Season,Greatest of All Time,8400,10,1,2,1
Brad Rutter,6516,2,"Tuesday, January 7, 2020",0,Accumulated Game,Regular Season,Greatest of All Time,16600,18,0,2,2
Ken Jennings,920,4595,"Friday, July 23, 2004",75000,"38-day champion: $1,321,660",Regular Season,Regular Season,37600,44,2,2,0
Ken Jennings,58,4653,"Wednesday, November 24, 2004",55099,"71-day champion: $2,410,100",Regular Season,Regular Season,36200,43,2,2,1
Ken Jennings,330,4783,"Wednesday, May 25, 2005",8599,Accumulated Game,Tournament,Ultimate Tournament of Champions,7600,13,1,4,0
Ken Jennings,329,4782,"Tuesday, May 24, 2005",10000,Accumulated Game,Tournament,Ultimate Tournament of Champions,10600,17,1,2,1
Ken Jennings,328,4781,"Monday, May 23, 2005",16000,Accumulated Game,Tournament,Ultimate Tournament of Champions,12800,23,1,4,0
Ken Jennings,62,4657,"Tuesday, November 30, 2004",8799,"2nd place: $2,000",Regular Season,Regular Season,22400,29,1,4,2
Ken Jennings,61,4656,"Monday, November 29, 2004",29000,"74-day champion: $2,520,700",Regular Season,Regular Season,22600,27,1,1,0
Ken Jennings,60,4655,"Friday, November 26, 2004",31600,"73-day champion: $2,491,700",Regular Season,Regular Season,31600,38,2,3,0
