Contestant,TournamentName,Outcome,Winnings,Format
Brad Rutter,Regular Season,"5-day champion: $55,102",5100,Regular Season
Brad Rutter,Regular Season,"4-day champion: $50,002",15200,Regular Season
Brad Rutter,Regular Season,"3-day champion: $34,802",10601,Regular Season
Brad Rutter,Regular Season,"2-day champion: $24,201",14000,Regular Season
Brad Rutter,Regular Season,"New champion: $10,201",10201,Regular Season
Ken Jennings,Regular Season,"38-day champion: $1,321,660",75000,Regular Season
Ken Jennings,Regular Season,"71-day champion: $2,410,100",55099,Regular Season
Ken Jennings,Regular Season,"2nd place: $2,000",2000,Regular Season
Ken Jennings,Regular Season,"74-day champion: $2,520,700",29000,Regular Season
Ken Jennings,Regular Season,"73-day champion: $2,491,700",31600,Regular Season
Ken Jennings,Regular Season,"72-day champion: $2,460,100",50000,Regular Season
Ken Jennings,Regular Season,"70-day champion: $2,355,001",30000,Regular Season
Ken Jennings,Regular Season,"69-day champion: $2,325,001",19200,Regular Season
Ken Jennings,Regular Season,"68-day champion: $2,305,801",33201,Regular Season
Ken Jennings,Regular Season,"67-day champion: $2,272,600",25600,Regular Season
Ken Jennings,Regular Season,"66-day champion: $2,247,000",50000,Regular Season
Ken Jennings,Regular Season,"65-day champion: $2,197,000",45099,Regular Season
Ken Jennings,Regular Season,"64-day champion: $2,151,901",26600,Regular Season
Ken Jennings,Regular Season,"63-day champion: $2,125,301",30000,Regular Season
Ken Jennings,Regular Season,"62-day champion: $2,095,301",30000,Regular Season
Ken Jennings,Regular Season,"61-day champion: $2,065,301",34001,Regular Season
Ken Jennings,Regular Season,"60-day champion: $2,031,300",25000,Regular Season
Ken Jennings,Regular Season,"59-day champion: $2,006,300",30000,Regular Season
Ken Jennings,Regular Season,"58-day champion: $1,976,300",40000,Regular Season
Ken Jennings,Regular Season,"57-day champion: $1,936,300",29900,Regular Season
Ken Jennings,Regular Season,"56-day champion: $1,906,400",28300,Regular Season
Ken Jennings,Regular Season,"55-day champion: $1,878,100",35000,Regular Season
Ken Jennings,Regular Season,"54-day champion: $1,843,100",35000,Regular Season
Ken Jennings,Regular Season,"53-day champion: $1,808,100",30000,Regular Season
Ken Jennings,Regular Season,"52-day champion: $1,778,100",40000,Regular Season
Ken Jennings,Regular Season,"51-day champion: $1,738,100",38400,Regular Season
Ken Jennings,Regular Season,"50-day champion: $1,699,700",35038,Regular Season
Ken Jennings,Regular Season,"49-day champion: $1,664,662",29601,Regular Season
Ken Jennings,Regular Season,"48-day champion: $1,635,061",50000,Regular Season
Ken Jennings,Regular Season,"47-day champion: $1,585,061",30000,Regular Season
Ken Jennings,Regular Season,"46-day champion: $1,555,061",37600,Regular Season
Ken Jennings,Regular Season,"45-day champion: $1,517,461",40000,Regular Season
Ken Jennings,Regular Season,"44-day champion: $1,477,461",45000,Regular Season
